Time,POST_requests,K6 VUs,GET_brands_response,GET_types_response,POST_response
2025-01-01 00:00:00,190,9,10.7,72.8,11.8
2025-01-01 00:00:15,613,20,10.7,72.8,23.6
2025-01-01 00:00:30,1321,32,10.7,72.8,25.8
2025-01-01 00:00:45,2053,44,10.7,72.8,31.1
2025-01-01 00:01:00,2647,50,10.7,72.8,38.8
2025-01-01 00:01:15,2832,50,10.7,72.8,41.5
2025-01-01 00:01:30,2810,50,10.7,72.8,42.2
2025-01-01 00:01:45,2815,50,10.7,72.8,41.9
2025-01-01 00:02:00,2810,57,10.7,72.8,42.2
2025-01-01 00:02:15,2819,69,10.7,72.8,42.9
2025-01-01 00:02:30,2811,82,10.7,72.8,43.9
2025-01-01 00:02:45,2753,94,10.7,72.8,45.2
2025-01-01 00:03:00,2139,100,10.7,72.8,46.8
2025-01-01 00:03:15,1506,100,10.7,72.8,48.6
2025-01-01 00:03:30,885,100,10.7,72.8,52.0
2025-01-01 00:03:45,499,100,10.7,72.8,78.8
2025-01-01 00:04:00,516,114,10.7,72.8,99.1
2025-01-01 00:04:15,518,139,10.7,72.8,107
2025-01-01 00:04:30,495,164,10.7,72.8,198
2025-01-01 00:04:45,495,189,10.7,72.8,249
2025-01-01 00:05:00,489,200,,,299
2025-01-01 00:05:15,494,200,,,332
2025-01-01 00:05:30,509,200,,,353
2025-01-01 00:05:45,506,200,,,396
2025-01-01 00:06:00,505,232,,,400
2025-01-01 00:06:15,483,279,,,416
2025-01-01 00:06:30,464,329,,,481
2025-01-01 00:06:45,464,382,,,501
2025-01-01 00:07:00,466,400,,,552
2025-01-01 00:07:15,476,400,,,600
2025-01-01 00:07:30,490,400,,,650
2025-01-01 00:07:45,480,400,,,698
2025-01-01 00:08:00,490,429,,,721
2025-01-01 00:08:15,494,479,,,794
2025-01-01 00:08:30,487,529,,,806
2025-01-01 00:08:45,494,579,,,896
2025-01-01 00:09:00,488,600,,,944
2025-01-01 00:09:15,476,600,,,999
2025-01-01 00:09:30,470,600,,,1050
2025-01-01 00:09:45,478,600,,,1099
2025-01-01 00:10:00,471,437,,,1105
2025-01-01 00:10:15,493,128,,,1104
